Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
16.63,4,0.3332176290229154753570309756,0.359932561551867,0.359932561551867,0.334846982932913,0.334846982932913,0.347047373380167,0.3713096097007014773251503098,0.2495184198384594773251503098,0.121791189862242,5.3186173479750966498281532753,58.732747796649341027724702792,58.732745961682166496369983842,1294012000
16.64,4,0.3332112120193115818684856017,0.359919379273045,0.359919379273045,0.334840534551708,0.334840534551708,0.34695129934017,0.3712128501429508098851111182,0.2494432726394918098851111182,0.121769577503459,5.3172313690106791175143289647,58.723797727470745362062846157,58.723795889586840762693600348,1294790000
16.65,4,0.3332048014819078041698273280,0.359906209327327,0.359906209327327,0.334834092668321,0.334834092668321,0.34685530852175,0.3711161744643668901084744413,0.2493681638603188901084744413,0.121748010604048,5.3158465915271576643509748239,58.714819588388522668171711077,58.714817747580591832587043135,1295569000
16.66,4,0.3331983993015766221168829457,0.359893059158031,0.359893059158031,0.334827659182871,0.334827659182871,0.346759480129967,0.3710196621962913801011172390,0.2492931731310983801011172390,0.121726489065193,5.314464154727128129550082008,58.705851946479234067160911999,58.705850102747955576655813488,1296347000
16.67,4,0.3331920046495737197227330908,0.35987992627021,0.35987992627021,0.334821233262561,0.334821233262561,0.346663790424078,0.3709232894817720055137095495,0.2492182766936900055137095495,0.121705012788082,5.3130837168848626804527100708,58.696917481488297054552503228,58.696915634838556186200510284,1297125000
16.68,4,0.3331856186975012898629774714,0.359866808422609,0.359866808422609,0.334814816084721,0.334814816084721,0.34656819047493,0.3708270073545038168479470228,0.2491434256806028168479470228,0.121683581673901,5.3117045766097357802278273711,58.68795618380819108511158101,58.687954334232988367022262009,1297903000
16.69,4,0.3331793400915236113178430738,0.35985380829876,0.35985380829876,0.334808506777874,0.334808506777874,0.346472727659851,0.3707308702392456226546997862,0.2490686746154106226546997862,0.121662195623835,5.3103275134790200680874250599,58.679005632424779868903988476,58.679003779924764248123143463,1298681000
16.70,4,0.3331729687589459194458701243,0.359840727082175,0.359840727082175,0.334802104291015,0.334802104291015,0.346377440954787,0.3706349031482654892828529168,0.2489940486091974892828529168,0.121640854539068,5.3089528857670634113725626952,58.67009262833027777495001554,58.670090772911463976099449115,1299459000
16.71,4,0.3331666051158808129207565809,0.359827663376694,0.359827663376694,0.334795709531269,0.334795709531269,0.346282293897476,0.3705390765863749188849852929,0.2489195182655859188849852929,0.121619558320789,5.3075802709863817492952314318,58.661167389147221177957038108,58.661165530805712217947908961,1300237000
16.72,4,0.3331603488080251174682026256,0.359814712008216,0.359814712008216,0.334789422631575,0.334789422631575,0.346187207096996,0.3704433179707674100011737703,0.2488450111005854100011737703,0.121598306870182,5.3062086294649117450243996233,58.652231419287415850577438931,58.652229558019344214944694095,1301015000
16.73,4,0.3331540007629632980869655240,0.359801679545834,0.359801679545834,0.334783043546103,0.334783043546103,0.346092282136899,0.3703477151444819162074785641,0.2487706150560489162074785641,0.121577100088433,5.304839219461485789858104028,58.643309030954031764127766345,58.643307166760699956955685395,1301793000
16.74,4,0.3331476602214130532699144844,0.35978866478263,0.35978866478263,0.334776672000832,0.334776672000832,0.345997502193624,0.3702522582163970481592008120,0.2486963203396680481592008120,0.121555937876729,5.3034718992962107990513585992,58.634421027542875204640103325,58.634419160429590999369172288,1302572000
16.75,4,0.3331414271113861857092958843,0.359775767883858,0.359775767883858,0.334770408412399,0.334770408412399,0.345902860165619,0.3701569470894354260626901776,0.2486221269531814260626901776,0.121534820136254,5.302106667578568863902200094,58.625515864428043058533189067,58.625513994390055232279179549,1303350000
16.76,4,0.3331351013221949520651570288,0.359762785032381,0.359762785032381,0.334764051691623,0.334764051691623,0.345808324063467,0.3700617356345390927336534489,0.2485479888663440927336534489,0.121513746768195,5.3007428635585039715365740651,58.616614764425370677043250284,58.616612891461902743329734007,1304128000
